timestamp,transaction_count,total_value_transferred_doge,avg_fee_doge,total_size_used_bytes
2024-01-18 05:00:00,3134,456324738.21,0.690038,2717921
2024-01-18 06:00:00,3894,746990912.84,0.732478,4031428
2024-01-18 07:00:00,2508,655829853.44,0.703391,2360088
2024-01-18 08:00:00,3388,616443546.98,0.729509,2820853
2024-01-18 09:00:00,3231,405945320.8,0.739381,2678068
2024-01-18 10:00:00,3047,1143632869.13,0.790072,2258547
2024-01-18 11:00:00,3584,704436523.31,0.765076,2922185
2024-01-18 12:00:00,4012,580153742.89,0.71395,3062399
2024-01-18 13:00:00,4076,614153166.29,0.798305,3844980
2024-01-18 14:00:00,4872,588814279.33,0.729057,4577985
2024-01-18 15:00:00,4600,597037019.95,0.617576,4409950
2024-01-18 16:00:00,7373,611514260.19,0.607139,6832424
2024-01-18 17:00:00,4258,919835374.81,1.043301,5981676
2024-01-18 18:00:00,4037,761659084.51,0.49007,3625266
2024-01-18 19:00:00,2683,826957545.84,0.632129,1961153
2024-01-18 20:00:00,2401,667868136.82,0.726327,1232586
2024-01-18 21:00:00,2557,422773380.51,0.826481,1992063
2024-01-18 22:00:00,2344,384165949.21,0.585134,1613482
2024-01-18 23:00:00,4235,310136050.07,0.396179,3057045
2024-01-19 00:00:00,4727,424782839.66,0.319739,3062830
2024-01-19 01:00:00,3052,527793573.39,0.629179,2879569
2024-01-19 02:00:00,5489,492539183.34,0.43695,4051169
2024-01-19 03:00:00,3400,514964875.89,0.773795,3032413
2024-01-19 04:00:00,3621,780042625.86,0.607188,3196096
2024-01-19 05:00:00,7017,345406718.49,0.324103,4576337
2024-01-19 06:00:00,3567,429688705.5,0.711304,3049270
2024-01-19 07:00:00,5566,585535600.27,0.4936,3618700
2024-01-19 08:00:00,10558,959840079.19,0.253402,4893686
